product_id,name,category,price,stock_quantity,units_sold_last_30_days,units_sold_last_7_days,revenue_last_30_days,revenue_last_7_days
1,Organic Bananas,Groceries,0.99,500,300,75,297.0,74.25
2,Wireless Mouse,Electronics,25.5,120,72,18,1836.0,459.0
3,Cotton T-Shirt (M),Apparel,15.0,200,120,30,1800.0,450.0
4,Ceramic Coffee Mug,Home & Kitchen,8.99,75,45,11,404.55,98.89
5,AA Batteries (8pk),Electronics,12.49,300,180,45,2248.2,562.05
6,Whole Milk (1L),Groceries,1.8,150,90,22,162.0,39.6
7,Yoga Mat,Sports,29.99,40,24,6,719.76,179.94
8,LED Desk Lamp,Home & Kitchen,34.0,60,36,9,1224.0,306.0
9,Sourdough Bread,Groceries,4.5,30,18,4,81.0,18.0
10,Bluetooth Headphones,Electronics,89.0,55,33,8,2937.0,712.0
11,Olive Oil (500ml),Groceries,12.0,90,54,13,648.0,156.0
12,Kitchen Spatula,Home & Kitchen,5.5,110,66,16,363.0,88.0
13,Running Shoes,Sports,75.0,25,15,3,1125.0,225.0
14,Notebook (A5),Stationery,3.99,400,240,60,957.6,239.4
15,Ballpoint Pen (Blue),Stationery,0.5,1000,600,150,300.0,75.0
16,Laptop Stand,Electronics,45.0,15,9,2,405.0,90.0
17,Greek Yogurt,Groceries,1.25,80,48,12,60.0,15.0
18,Denim Jeans,Apparel,45.99,65,39,9,1793.6100000000001,413.91
19,Cast Iron Skillet,Home & Kitchen,40.0,20,12,3,480.0,120.0
20,Dumbbell (5kg),Sports,15.0,50,30,7,450.0,105.0
21,HDMI Cable (2m),Electronics,10.99,150,90,22,989.1,241.78
22,Avocado (Single),Groceries,1.5,120,72,18,108.0,27.0
23,Winter Jacket,Apparel,85.0,30,18,4,1530.0,340.0
24,Cutting Board,Home & Kitchen,19.5,45,27,6,526.5,117.0
25,Fountain Pen,Stationery,25.0,15,9,2,225.0,50.0
26,USB-C Hub,Electronics,35.0,40,24,6,840.0,210.0
27,Protein Powder (1kg),Sports,45.0,60,36,9,1620.0,405.0
28,White Rice (1kg),Groceries,2.2,300,180,45,396.00000000000006,99.00000000000001
29,Bed Sheets (Queen),Home & Kitchen,55.0,25,15,3,825.0,165.0
30,Stapler,Stationery,6.5,85,51,12,331.5,78.0
31,Smartphone Case,Electronics,14.99,200,120,30,1798.8,449.7
32,Cheddar Cheese,Groceries,5.4,95,57,14,307.8,75.60000000000001
33,Hoodie (Gray),Apparel,35.0,110,66,16,2310.0,560.0
34,Non-Stick Frying Pan,Home & Kitchen,28.0,35,21,5,588.0,140.0
35,Tennis Racket,Sports,120.0,12,7,1,840.0,120.0
36,Paper Clips (100pk),Stationery,1.2,500,300,75,360.0,90.0
37,External Hard Drive (1TB),Electronics,59.99,45,27,6,1619.73,359.94
38,Frozen Pizza,Groceries,6.99,60,36,9,251.64000000000001,62.910000000000004
39,Canvas Backpack,Apparel,42.0,50,30,7,1260.0,294.0
40,Electric Kettle,Home & Kitchen,24.99,40,24,6,599.76,149.94
41,Water Bottle (Insulated),Sports,22.0,90,54,13,1188.0,286.0
42,Sticky Notes,Stationery,2.5,300,180,45,450.0,112.5
43,Webcam (1080p),Electronics,49.0,25,15,3,735.0,147.0
44,Ground Coffee (250g),Groceries,8.5,140,84,21,714.0,178.5
45,Bath Towel,Home & Kitchen,12.0,150,90,22,1080.0,264.0
46,Resistance Bands,Sports,18.0,70,42,10,756.0,180.0
47,Mechanical Pencil,Stationery,3.0,250,150,37,450.0,111.0
48,Power Bank (10000mAh),Electronics,29.0,80,48,12,1392.0,348.0
49,Almond Milk,Groceries,3.2,110,66,16,211.20000000000002,51.2
50,Kitchen Scissors,Home & Kitchen,7.99,65,39,9,311.61,71.91
51,Baseball Cap,Apparel,19.0,120,72,18,1368.0,342.0
52,Smart Bulb,Electronics,15.99,100,60,15,959.4,239.85
53,Pasta (500g),Groceries,1.1,400,240,60,264.0,66.0
54,Bath Mat,Home & Kitchen,14.5,40,24,6,348.0,87.0
55,Jump Rope,Sports,10.0,150,90,22,900.0,220.0
56,Highlighter (4pk),Stationery,4.5,180,108,27,486.0,121.5
57,Ethernet Cable (5m),Electronics,8.5,90,54,13,459.0,110.5
58,Peanut Butter,Groceries,4.0,130,78,19,312.0,76.0
59,Wall Clock,Home & Kitchen,22.0,25,15,3,330.0,66.0
60,Soccer Ball,Sports,25.0,55,33,8,825.0,200.0
61,Whiteboard Markers,Stationery,5.5,140,84,21,462.0,115.5
62,SD Card (64GB),Electronics,18.0,110,66,16,1188.0,288.0
63,Honey (500g),Groceries,9.0,75,45,11,405.0,99.0
64,Measuring Cups,Home & Kitchen,12.5,50,30,7,375.0,87.5
65,Leather Belt,Apparel,30.0,80,48,12,1440.0,360.0
66,Laptop Backpack,Apparel,55.0,45,27,6,1485.0,330.0
67,Kettlebell (10kg),Sports,35.0,30,18,4,630.0,140.0
68,Desktop Calculator,Stationery,12.0,60,36,9,432.0,108.0
